"	Всього померлих	За окремими причинами:
		хвороби системи кровообігу (I00-I99)	новоутво-рення (C00-D48)	зовнішні причини смерті (V01-Y98)	хвороби органів травлення (K00-K93)	хвороби органів дихання (J00-J99)	деякі інфекційні та паразитарні хвороби
(A00-B99)
2005	30810	15043	4441	2955	899	880	647
2006	30514	15427	4376	2672	969	791	579
2007	30747	16620	4326	2741	940	875	585
2008	30127	16841	4295	2507	1035	738	604
2009	28154	16848	4453	1986	894	665	531
2010	28553	17924	4518	1874	889	723	549
2011	27033	17362	4374	1741	851	656	447
2012	26406	16804	4628	1718	900	609	508
2013	26498	17225	4535	1664	967	667	456
2014	27773	18384	4511	1852	870	597	476
2015	28066	18321	4567	1748	878	631	463
2016	28129	17860	4570	1628	931	757	468
2017	27758	17870	4419	1546	886	613	409"
